stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
ANEMO_01,27A,48.6431816498,7.7228441834,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANEMO_02,27B,48.6432401343,7.7237212658,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANEMO_03,27C,48.64305,7.72561,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANEMO_04,27D,48.643053,7.725817,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANFOR_01,28A,48.5314856056,7.6313500106,Ancienne Forge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANFOR_02,28B,48.53166944,7.632547617,Ancienne Forge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANGLE_01,812A,48.610349,7.789648,Angle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANGLE_02,812B,48.610349,7.789648,Angle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANKAR_03,29A,48.5753906304,7.7714431286,Ankara,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANKAR_04,29B,48.5765308241,7.7712500095,Ankara,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANSYN_01,30A,48.5853285284,7.7423773706,Ancienne Synagogue / Les Halles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANSYN_02,30B,48.5853036883,7.7422459424,Ancienne Synagogue / Les Halles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARANS_01,31A,48.6596158,7.7213649,Vendenheim Artisans,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARANS_02,31B,48.6597467,7.721323,Vendenheim Artisans,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_03,32C,48.568238,7.776318,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_05,32D,48.568531179,7.7768611908,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_06,32E,48.5685036683,7.7765795588,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_09,32G,48.56916,7.776825,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_10,32B,48.568563,7.776351,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_11,32H,48.568188,7.777676,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARIBR_01,32I,48.569064,7.77676,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ATHEN_01,716A,48.6081802929,7.7097671299,Athènes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ATHEN_02,716B,48.6082802929,7.7097671299,Athènes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AULIZ_01,755A,48.578071,7.754061,Austerlitz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AULIZ_02,755B,48.578084,7.754122,Austerlitz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AVENI_01,37A,48.5650309917,7.6987123489,Avenir,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AVENI_02,37B,48.5649280413,7.6984669268,Avenir,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_01,38A,48.5451639058,7.7379161865,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_02,38B,48.5448620357,7.7380134165,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_03,38C,48.5449250734,7.7378491312,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_04,38D,48.5450484851,7.7380000055,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAILL_01,39A,48.6069986291,7.7799189091,Baillis,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
