service_id,date,exception_type
21SEPTAFF-72-Semaine-03,20220411,2
21SEPTAFF-72-Semaine-03,20220412,2
21SEPTAFF-72-Semaine-03,20220413,2
21SEPTAFF-72-Semaine-03,20220414,2
21SEPTAFF-72-Semaine-03,20220415,2
21SEPTAFF-72-Semaine-03,20220418,2
21SEPTAFF-72-Semaine-03,20220419,2
21SEPTAFF-72-Semaine-03,20220420,2
21SEPTAFF-72-Semaine-03,20220421,2
21SEPTAFF-72-Semaine-03,20220422,2
21SEPTAFF-72-Semaine-03,20220526,2
21SEPTAFF-72-Dimanche-03,20220415,1
21SEPTAFF-72-Dimanche-03,20220418,1
21SEPTAFF-72-Dimanche-03,20220526,1
21SEPPVSAF-72-Semaine-01,20220415,2
21SEPPVSAF-72-Semaine-01,20220418,2
22JANB-UPCBus-Semaine-96,20220411,2
22JANB-UPCBus-Semaine-96,20220412,2
22JANB-UPCBus-Semaine-96,20220413,2
22JANB-UPCBus-Semaine-96,20220414,2
22JANB-UPCBus-Semaine-96,20220415,2
22JANB-UPCBus-Semaine-96,20220418,2
22JANB-UPCBus-Semaine-96,20220419,2
22JANB-UPCBus-Semaine-96,20220420,2
22JANB-UPCBus-Semaine-96,20220421,2
22JANB-UPCBus-Semaine-96,20220422,2
22JANB-UPCBus-Semaine-96,20220526,2
22JANB-UPCBus-Semaine-96,20220527,2
22JANB-UPCBus-Dimanche-00,20220501,2
22JANB-UPCBus-Dimanche-00,20220415,1
22JANB-UPCBus-Dimanche-00,20220418,1
22JANB-UPCBus-Dimanche-00,20220526,1
22JANPVSB-UPC Bus-Semaine-00,20220415,2
22JANPVSB-UPC Bus-Semaine-00,20220418,2
22JANPVSB-UPC Bus-Semaine-00,20220425,2
22JANPVSB-UPC Bus-Semaine-00,20220426,2
22JANPVSB-UPC Bus-Semaine-00,20220427,2
22JANPVSB-UPC Bus-Semaine-00,20220428,2
22JANPVSB-UPC Bus-Semaine-00,20220429,2
22JANPVSB-UPC Bus-Semaine-00,20220502,2
22JANPVSB-UPC Bus-Semaine-00,20220503,2
22JANPVSB-UPC Bus-Semaine-00,20220504,2
22JANPVSB-UPC Bus-Semaine-00,20220505,2
22JANPVSB-UPC Bus-Semaine-00,20220506,2
22JANPVSB-UPC Bus-Semaine-00,20220509,2
22JANPVSB-UPC Bus-Semaine-00,20220510,2
22JANPVSB-UPC Bus-Semaine-00,20220511,2
22JANPVSB-UPC Bus-Semaine-00,20220512,2
22JANPVSB-UPC Bus-Semaine-00,20220513,2
22JANPVSB-UPC Bus-Semaine-00,20220516,2
22JANPVSB-UPC Bus-Semaine-00,20220517,2
22JANPVSB-UPC Bus-Semaine-00,20220518,2
22JANPVSB-UPC Bus-Semaine-00,20220519,2
22JANPVSB-UPC Bus-Semaine-00,20220520,2
22JANPVSB-UPC Bus-Semaine-00,20220523,2
22JANPVSB-UPC Bus-Semaine-00,20220524,2
22JANPVSB-UPC Bus-Semaine-00,20220525,2
22JANPVSB-UPC Bus-Semaine-00,20220526,2
21SEPW-A-D-Semaine-87,20220415,2
21SEPW-A-D-Semaine-87,20220418,2
21SEPW-A-D-Semaine-87,20220526,2
21SEPW-A-D-Dimanche-85,20220501,2
21SEPW-A-D-Dimanche-85,20220415,1
